INFO:root:Blob init with color (0, 0, 255)
INFO:root:Blob init with color (0, 0, 255)
INFO:root:Blob init with color (0, 0, 255)
INFO:root:Blob init with color (0, 0, 255)
INFO:root:Blob init with color (0, 0, 255)
INFO:root:Blob init with color (0, 0, 255)
INFO:root:Blob init with color (0, 0, 255)
INFO:root:Blob init with color (0, 0, 255)
INFO:root:Blob init with color (0, 0, 255)
INFO:root:Blob init with color (0, 0, 255)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 5, location: (797, 500) + Blob of color: (0, 255, 0), size: 4, location: (794, 502)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 4, location: (370, 157) + Blob of color: (255, 0, 0), size: 6, location: (379, 153)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 7, location: (32, 194) + Blob of color: (255, 0, 0), size: 6, location: (42, 202)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 6, location: (756, 346) + Blob of color: (0, 255, 0), size: 7, location: (752, 334)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 1, location: (38, 196) + Blob of color: (255, 0, 0), size: 5, location: (43, 197)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 7, location: (363, 313) + Blob of color: (0, 0, 255), size: 4, location: (361, 323)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 4, location: (361, 323) + Blob of color: (0, 0, 255), size: 7, location: (363, 313)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 7, location: (362, 314) + Blob of color: (0, 0, 255), size: 4, location: (362, 323)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 4, location: (362, 323) + Blob of color: (0, 0, 255), size: 7, location: (362, 314)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 7, location: (363, 314) + Blob of color: (0, 0, 255), size: 4, location: (362, 324)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 4, location: (362, 324) + Blob of color: (0, 0, 255), size: 7, location: (363, 314)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 7, location: (363, 314) + Blob of color: (0, 0, 255), size: 4, location: (361, 323)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 4, location: (361, 323) + Blob of color: (0, 0, 255), size: 7, location: (363, 314)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 7, location: (364, 315) + Blob of color: (0, 0, 255), size: 4, location: (362, 324)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 4, location: (362, 324) + Blob of color: (0, 0, 255), size: 7, location: (364, 315)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 7, location: (365, 314) + Blob of color: (0, 0, 255), size: 4, location: (361, 323)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 4, location: (361, 323) + Blob of color: (0, 0, 255), size: 7, location: (365, 314)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 7, location: (365, 315) + Blob of color: (0, 0, 255), size: 4, location: (361, 322)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 4, location: (361, 322) + Blob of color: (0, 0, 255), size: 7, location: (365, 315)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 7, location: (365, 315) + Blob of color: (0, 0, 255), size: 4, location: (362, 323)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 4, location: (362, 323) + Blob of color: (0, 0, 255), size: 7, location: (365, 315)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 7, location: (365, 316) + Blob of color: (0, 0, 255), size: 4, location: (363, 323)
INFO:root:Blob add op Blob of color: (0, 0, 255), size: 4, location: (363, 323) + Blob of color: (0, 0, 255), size: 7, location: (365, 316)
